Name,Category,Followers,Description
Inument Solutions Limited,"IT Services and IT Consulting • Baridhara DOHS, Dhaka, Dhaka",2K followers,"Inument Solutions Limited is a software company that specializes in tech staff augmentation and custom software development. The company helps startups, organizations, and enterprises with custom software solutions. Inument has a team of experienced software developers who are skilled in a variety of programming..."
Fiftytwo Digital Ltd.,"IT Services and IT Consulting • Dhaka, Nikunja 1",2K followers,"A Leading supplier of Software, Digital and Print solutions  Fiftytwo Digital is a software development company and DTP Studio located in Dhaka, Bangladesh..."
Bongo IT Limited,Information Technology & Services • Dhaka,3K followers,Bongo IT Limited is Bangladesh UK USA based Software company Doing Highly qualitative Development.
Dohatec New Media,Software Development • Dhaka,2K followers,"Dohatec is an independent software vendor (ISV) and technology firm developing solutions for enterprise clients in North America, Asia and Europe for nearly 25 years. We provide enterprise software and IT services to fulfill needs in niche markets to discerning corporations, institutions and government agencies..."
Texon,"Software Development • Mirpur, Dhaka",2K followers,"Texon Limited is a fast-growing software development company based in Bangladesh, that offering end-to-end software and hardware solutions to Enterprises, SME..."
Nodes Digital Limited,"Information Technology & Services • Dhaka, Dhaka",2K followers,"We are an Agri-tech firm focusing on IoT and AI based precision agriculture. Agriculture sector in Bangladesh and worldwide is vulnerable due to climate change, excess resource use ,pollution and resource depletion. Founded in 2019 by a team of visionaries, Nodes Digital Ltd is committed to revolutionize agriculture..."
Convince Group,Apparel Manufacturing • Dhaka,2K followers,"Convince Group is a diversified industrial conglomerate in Bangladesh, focused on ready-made garments (RMG) manufacturing, garments accessories and packaging..."
Softopark It Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,The next-generation tech advancer • Specialties: software development
ZS Solutions Ltd.,"Software Development • Dhaka, Dhaka",2K followers,"We are a software and accounting company, headquartered in Dhaka, Bangladesh with satellite offices in Suffolk, Sunderland, and London. Our focus lies on..."
Daffodil Software Limited (DSL),"Software Development • Dhaka, Dhaka",1K followers,"Unlock unmatched software solutions tailored to your needs with Daffodil Software Ltd. (DSL). As a global leader in custom development services since 1998, DSL..."
Virtual Edge,"Advertising Services • Sylhet, BD-SYL",569 followers,"Are You Looking Lead Generation Team With Low Price!!
                  mrahman@virtualedgebd.com • Specialties: Software Development"
Statistical Research Consultants Bangladesh-SRCBD,Research Services • Dhaka,2K followers,"...Designing & Questionnaire Development -> Sampling Development -> Consultancy in Market, Business, Medical, Banking & Finance, Public Health, Economic & Social..."
Sumations Bangladesh,Software Development • Dhaka,2K followers,"We develop innovative and creative software and services with a dynamic team. Among a plethora of services, web design and development, customize applications, ERPs, e-commerce solutions, business-to-business applications, and business-to-client applications are few that we offer.  Sumations Bangladesh is committed..."
DreamOnline Limited,"IT System Custom Software Development • Dhaka, Dhaka",2K followers,Enabling your Dream with Innovative Technology! • Specialties: Software Development
Impala Intech - Software Development Agency,Software Development • Dhaka,948 followers,...of the competition. We offer higher quality development services like no other.  About US Impala Intech Limited was born in 2017 by a team of software enthusiasts.  We are a global software development agency specializing in complex solutions for various industries.  We are committed to delivering end-to-end services as your go...
University of South Asia,Dhaka,,"...experience that would equip graduates with Community, Communication, Connectivity and Career. In Bangladesh, we are one of the handful of universities who have our Vice..."
ITL Digital Technology,"IT Services and IT Consulting • Chattogram, Chittagong",2K followers,"...web design & development, mobile app development, UI/UX design, software development, digital marketing, branding, designing, cloud solutions, cybersecurity, IT..."
Invento Software Limited,"Software Development • Dhaka, Dhaka",1K followers,"We are Invento Software Limited. We have started our journey in 2013. We design and build custom software's, web applications, Mobile applications and custom E-commerce solutions. Our ERP solution and Retail POS system has 100+ implementation all over Bangladesh. We have a strong and dedicated team of software..."
Rangtuli,Information Technology & Services • Dhaka,2K followers,Rangtuli is a service brand of BDCOM Online Ltd. a renouen ICT service company in Bangladesh.
Prolific Info Tech,"Software Development • Dhaka, Dhaka",2K followers,"As a software development company, Prolific Info Tech is designed to give high-quality services at competitive costs. Our professionals have constantly met the high standards of Enterprise customers."
BroTecs Technologies Ltd.,Software Development • Dhaka,2K followers,"Brotecs is the FIRST and ONLY Research & Development company in Bangladesh that innovates and develops Satellite & Aviation Communication Software Products & Solutions.  Brotecs Technologies, an ISO 9001:2015 (QMS) and ISO/IEC 27001:2013 (ISMS) certified R&D and Software Development Company, brings over 16+ years..."
Fab Technologies Ltd.,"Retail Office Equipment • Dkaka, Dhaka",2K followers,"...the inception, Fab Technologies Ltd has a policy to popularize Security system, Computer, and other related automation technologies among the all people in Bangladesh and in future it will spread all over the world. From the beginning we have centralized our focus on the development of customized hardware & software on CCTV..."
SIMEC Group,"IT Services and IT Consulting • Uttara, Dhaka",2K followers,"...reputation for being one of the best, most respected & reliable organization in Japan & Bangladesh. https://simec-inc.net/"
AMPLESOFT,"IT Services and IT Consulting • Dhaka, Dhaka Division",2K followers,"...in a crowded market. In the realm of Motion Graphic Design, we bring your ideas to life through dynamic animations and cinematic techniques that captivate..."
XpertSolvers: Empowering Innovation with Expert Software Developers,"Software Development • Dhaka, Dhaka",2K followers,"..., SMEs, and Enterprises to succeed in their complex goals.   Our strength is data-driven customized SaaS solution development and on-demand developers supply..."
SPIDER IT BANGLADESH,"IT Services and IT Consulting • Chittagong, Chittagong",1K followers,"...of services, including Web Development, network design and implementation, cybersecurity, and custom software development. No matter what your IT needs are, we have..."
Enlighten Limited,Business Consulting and Services • Dhaka,2K followers,...and managers in their current business and the future growth requirements. Enlighten works in partnership with business owners and managers to build a value adding...
Datazo InfoTech,"IT Services and IT Consulting • 8 Gulshan Avenue, Dhaka North City, Dhaka",2K followers,Datazo InfoTech is an Award-Winning & World-Class Software Development Company with Engineering Hubs in NYC. We are committed to providing end-to-end IT...
Fusion Infotech Ltd.,Software Development • Dhaka,2K followers,"...unsurpassed in product knowledge, industry best practices, and experience. We eliminate doubt by delivering high quality, high value Oracle software resale..."
Prime Tech Solutions Ltd.,"Software Development • Dhaka, Dhaka",2K followers,"Prime Tech is owned and managed by a team of business professionals and technocrats, who have global experiences in harnessing people and technology for business processes. The depth and ability of Prime Tech lies in the unique technical skills of our people that assures you outstanding performance through consistency..."
Computer Ease Limited,Software Development • Dhaka,2K followers,"Computer Ease Limited (CEL) is a software company established in 1992. We, at CEL, specialize in customized business application development. We also offer..."
Authlab,"Software Development • Sylhet, Sylhet",2K followers,"Authlab is a team of designers, developers, software architects, and tech enthusiasts aimed to craft World-class WordPress plugins."
Portland Advertising Agency LLC,Software Development • Dubai,2K followers,"...marketing & advertising but now established as one of the growing software company in the international market. After successful business operation is Ajman, we’re going to open our Branch in Dhaka, Singapore, Muscat & Poland. Currently we’re working for individual companies & our own product development to hold our position..."
Invariant Telecom Bangladesh Limited,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,"Invariant Telecom is a major concern of the Microtrade Group who began its humble journey in 2014. We are a software development company based in Dhaka, Bangladesh who specializes in both web and mobile applications. Our products are aimed at a variety of industries including banking, telecommunications and digital..."
Royal Technologies,"Technology, Information and Internet • Kushtia",2K followers,"...Engine Optimizing, Office Networking, IT Consulting, Corporate Branding, Remote or Telephone Support and Software Development. In simpler terms it’s an IT..."
System Decoder,"Software Development • Pallabi, Dhaka",2K followers,System Decoder is a Software company. We will provide IT consultancy and any kind of management software as per your demand.
Square InformatiX Limited,Information Technology & Services • Dhaka,2K followers,"The name Square the trust; functioning since 1958, Square group's diversification's led to establish Square InformatiX Limited in the year 2000 with a commitment to provide total ICT solution. Square InformatiX Limited a solution provider for software development, computer networking, internet service and end to end..."
E-Freelancing.com,Software Development • Dhaka,2K followers,"...( United States of America ) and more.   We have work experience with Ruppur Nuclear Power Plant, the Department of Shipping (DoS) in Bangladesh, Bangladesh Navy..."
IsDB-BISEW,"Education Administration Programs • Dhaka, Dhaka",2K followers,Islamic Development Bank-Bangladesh Islamic Solidarity and Educational Wakf
Code Studio,Software Development • Rajshahi,2K followers,Code Studio is one of the best software company in the world that builds Mobile and Web Applications to grow business successfully.
Kode Island (Web Agency),IT Services and IT Consulting • Dhaka,905 followers,...and increase revenue.  ✔ Software Development ✔ Web Design & Development ✔ Mobile App Development ✔ Graphics Design ✔ Website Audit ✔ Content Creation ✔ Search Engine Optimization ✔ Business Analysis ✔ E-Commerce  Our abundant team ensures a personal experience every time.   Your Partner in Success helping you Bring Your...
STITBD,"Information Technology & Services • Dhaka, Dhaka",2K followers,We have been providing information technology (IT) services since 2014. We aim to providing professional quality IT service in all over the Bangladesh. Already we have been developed more than 850 websites and customize software and others IT related s work . Mostly we are working with business & education institutes...
TechnoVista Limited,IT Services and IT Consulting • Dhaka,2K followers,"TechnoVista Limited is a leading software development company, has 24+ years of experience in this industry with deep expertise in Government and Local & Multinational projects, has spread its wings to Europe & USA with its services."
Artocloud Digital,"Advertising Services • Dhaka, Dhaka",875 followers,"...hardware and software issues. We have professional software developers, engineers in our team.  We help our clients to develop both regular and e-commerce websites..."
ANTT Robotics Ltd,Embedded Software Products • Seoul,2K followers,"..., and the most up-to-date technologies, we assist in learning and accelerating the industrial revolutions to make our lives simpler by enriching data. We teach them how to do this in an interactive and project-based way, all within our ecosystem. In short, we are an innovative ecosystem developer that includes complete IIOT..."
Pidex Limited,"Technology, Information and Internet • Dhaka",2K followers,"Welcome to Pidex Limited (2021), your trusted partner in cloud logistics and IT solutions. We are a leading company based in Dhaka, Bangladesh, specializing in..."
Orange Solutions Ltd,"Software Development • Dhaka, Dhaka",2K followers,Orange Solutions Ltd. is a ISO 9001:2015 Certified Technology Company. OSL provides an integrated business processor that runs the entire business in real-time...
ICT Distribution,IT Services and IT Consulting • Sydney,2K followers,...deeply engaged in the development of the reseller community and its skillsets to enable them to execute complex business deals utilizing cutting-edge...
Creative Tech Park,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,Creative Tech Park Website Design Development Company Dhaka Bangladesh is the Ultimate Website Design and Development and SEO Service Company Bangladesh...
Triangle Technologies Ltd,"IT Services and IT Consulting • Uttara, Dhaka",2K followers,"Triangle Technologies Limited is a reputed software development company providing enterprise software & IT solutions for fintech, telco, eCommerce, pharma, manufacturing, retail, Corporate, etc. industries both locally & globally."
NDE Steel Structures Ltd,"Construction • Dhaka, Dhaka",2K followers,National Development Engineers (NDE) had a legacy for the construction business about more than 3 decades. This time frame started from 80’s with a vision...
Deepchain Labs,Software Development • Dhaka,2K followers,"Deepchain Labs is a blockchain-centric R&D-based software service company in Bangladesh. Our vision is to use cutting-edge deep technology to build the next generation internet and its ecosystem.  There has been a lot of concern in recent decades about the current state of the internet. Eventually, a slew..."
REEA Digital Limited,IT Services and IT Consulting • Dhaka,2K followers,"We're a Digital Agency experienced in providing services to various companies and organizations in Europe, North America, Asia, and Australia.  What we offer..."
Bengal Mobile QA Solution,"Software Development • Dhaka, Dhaka",2K followers,...technology to solve real-world challenges with great intuitive user-experiences.  Bengal Mobile QA is a BASIS-member software company that does software development outsourcing for SurroundApps and is reselling and supporting this software in Bangladesh. The principals of SurroundApps come with development and project...
Robust Research And Development Ltd.,"Information Technology & Services • Gulshan, Dhaka",1K followers,"We are Robust Research and Development Ltd., a dynamic tech powerhouse based in Dhaka, Bangladesh, spearheading innovation in the technology industry.  Innovation at the Core: At Robust, innovation is not just a buzzword, it's the heart of everything we do. Specializing in Augmented Reality, Virtual Reality, Games..."
Glossy IT,"Information Technology & Services • Dhaka, Dhaka Division",1K followers,Offshore Outsourcing Company (Software Development & ITES)
W3 Techniques,"Information Technology & Services • Dhaka, Dhaka",770 followers,Provide Smart IT Solution in Bangladesh
nazdaqTechnologies Inc.,"IT Services and IT Consulting • New York, NY",1K followers,"...consulting, Innovative Software Development and Business Process Outsourcing (BPO)."
Devute,"Software Development • Sylhet, Sylhet",2K followers,"Devute is a software development company that provides startup to enterprise-level software globally. Devute was founded by Numan Hussain on March 23, 2017, and Devute is a subsidiary brand of NextGenty. The company has offered a wide range of high-quality services in the development, delivery, and maintenance..."
MNP Techs,"IT Services and IT Consulting • Mirpur - 10, Dhaka",2K followers,"We are an information technology company focusing solely on development. Being paramount in the IT industry, we aim to provide viable solutions to our clientele. Our mastery in the field of Web design and development, digital marketing, content writing, e-commerce solution, SEO (Search engine optimization), Software..."
Gateway Automation Ltd,"Software Development • Dhaka, Dhaka",2K followers,"Gateway Automation Ltd is a private limited company, working with the ICT sector (software & ITES support service), especially on ERP management systems.  We are experts in ERP systems for any type of business process especially Real Estate & Property Management; Trading Business; Supply Chain Management systems..."
Swapnoloke,"Software Development • Dhaka, Mirpur DOHS",2K followers,"...live. In technological area it has been contributing with its expertise on Software Development, Web based Solution, Enterprise Solution, Mobile Application..."
Retina Soft,"Software Development • Mohammadpur, Dhaka",2K followers,"We have been building a brand and Developing web, eCommerce, software, and mobile app solutions for our clients since 2018. We are working hard to digitalize the whole country. Our aim is to digitalize all the sectors of Bangladesh. We want a strong economic growth of Bangladesh through a safe and secured digital..."
Qtec Solution Limited | Software Development Company,"Software Development • Dhaka, Dhaka",1K followers,"Get your dream project designed, engineered, and delivered in perfectly planned time by highly expert software programmers, UI UX Designers using proven software development methodologies and testing. Our teams are built from the finest designers, programmers who build your software in record time and quality."
Smartupworld Websolutions,"Outsourcing and Offshoring Consulting • Dhaka, Khilgaon",2K followers,.... Magento 1x 2x Theme & Extension Development. Fixing Magento & WordPress. WordPress Blog News Woo-Commerce Theme & Plugins Development. Manual Product Entry...
SoftyPy,IT Services and IT Consulting • Dhaka,2K followers,"...cherish. SoftyPy comes with the promise of understanding the necessity and delivering it most satisfactorily.  We provide each type of service in the IT sector, including web page development, E-commerce, virtual reality, augmented reality, software development, and mobile application development, digital marketing..."
Decipher Tech,IT Services and IT Consulting • Dhaka,2K followers,Redefining Ecommerce Management • Specialties: Software development
Zaynax Limited,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,"Zaynax Limited is a technology company based in Dhaka, Bangladesh offering mobile app and software development, 360 digital marketing services and many more."
TechnoMagic Pvt. Ltd.,"Animation and Post-production • Dhaka, Dhaka",2K followers,Game and Animation studio in Bangladesh.
Bengal Software,Software Development • Dhaka,1K followers,"Bengal Software is a newly formed online based business platform with particular momentum behind it based on perceived demand for its products or services. We offer Website Design, Re-Design and web application for your business."
Unlocklive IT Limited,"IT Services and IT Consulting • Dhaka, 1216",2K followers,"As a leading Bangladesh-based software company since 2008, UnlockLive provides customized, innovative technology solutions to boost businesses worldwide..."
Vurke Inc.,Human Resources Services • Dubai,1K followers,"Providing EOR, Payroll, Project Management & ITES services globally • Specialties: Software Development"
Aarry Limited,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,MOBILE APP DEVELOPMENT COMPANY  Want to Develop Resourceful Mobile App? We are US Local leading Mobile App Development Company with 500+ published apps and 10+ year app development industry experience.  Get MVP (minimum viable product) within one month time. Get exclusive blend of compelling mobile app development...
Creativitix Software Ltd.,Information Technology & Services • Dhaka,1K followers,"We are a software development agency that helps different companies and start-ups at any stage of the product software development cycle, from R&D or building..."
JoulesLabs,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,"We're a digital agency, (01) helping startups by developing their software and SaaS, (02) working as an offshore tech team, and (03) building in-house pet projects.   We craft things by completely understanding the business needs and build products that people love."
BASE IT SOLUTIONS LTD,IT Services and IT Consulting • Dhaka,2K followers,"Base IT is a leading website and software development company in Dhaka, Bangladesh. Our aspiration is to produce high quality, cost effective, reliable & result-oriented Software development also Website design and e-Commerce website development solutions on time. Our young and experienced Professionals are here..."
Grameen Solutions,"Information Technology & Services • Dhaka, Dhaka",2K followers,".... Muhammad Yunus. Over the past several years, GSL has firmly established itself as an industry leader in the software development and IT services sector in Bangladesh. Since its inception in 1999, GSL has gained a considerable amount of experience in the development and implementation of large-scale enterprise wide..."
Engr. G M Mostakim Azad,"IT Services and IT Consulting • Uttara, Dhaka",2K followers,"...and talented person. G M Mostakim Azad also Provide Domain, Hosting, Software, Website Design and development service world wide. G M Mostakim Azad is a renowned in..."
Essential-Infotech,"Outsourcing and Offshoring Consulting • Uttara, Dhaka",1K followers,"We are a leading outsourcing company, providing end-to-end solutions in web development and all kinds of IT services in Bangladesh and globally. We are responsible for creating a brand to remember."
Arena Phone Bd Ltd,"Telecommunications • Dhaka, Dhaka",2K followers,"Arena Phone BD LTD has been providing dedicated development services to the various international and local organizations from Bangladesh in their diverse projects related to Website development, Web application development, Software development, Mobile apps and content development since 2007. Our portfolio speaks..."
Sheba Technologies Limited,"Information Technology & Services • Mohakhali C/A , Dhaka",2K followers,"...Business Process Automation by delivering architecturally superior Software solution, Off-the-Shelf customizable Software, Digital Identity platform for Citizens..."
Aprosoft,"Software Development • Andover, MA",972 followers,"..., Aprosoft has its primary offshore development center in Bangladesh.  We also have support development centers in India, Malaysia and the Czech Republic for special..."
Arutars IT Farm,"Advertising Services • Dhaka, Dhanmondi",2K followers,Who Are We: Arutars IT Farm is a Top Digital Marketing Agency in Bangladesh as well as more than 10 countries in Europe America. We Provide a to z IT Solution...
Arena Web Security,"IT Services and IT Consulting • Dhaka, Dhaka",1K followers,"Arena Web Security is a renowned & first level IT security company in Bangladesh since its establishment in 2012. During these years, Arena has provided Cyber Security Services and Trainings to many around the world."
Pioneer Logics,"Software Development • Wilmington, Delaware",851 followers,"...and fully tailored experience. In a decade of hands-on consultancy initiatives, we have been involved in many key software design and development projects for a..."
Ethics Advance Technology Limited.,Software Development • Dhaka,1K followers,"...and thereafter assist them in their technology-driven business transformations. We have proven domain knowledge in areas of banking and finance, enterprise..."
Techdyno BD LTD,IT Services and IT Consulting • Dhaka,2K followers,"...and development, software development, video, and 2D animation, graphic design, SEO, digital marketing, and branding. Our team of experts is highly professional and skilled, committed to providing cost-effective and trustworthy services.  Our web and software services, including web design, web development, and software..."
Sourcetop,"Technology, Information and Internet • Scarsdale, NY",899 followers,"Sourcetop is a business transformation partner for brands looking to build their digital ecosystems through User Experience & Design, Software Development and Platform Consulting. To learn more about how Sourcetop helps companies drive real business outcomes, visit www.sourcetop.com."
Talent Pro,"Software Development • Banani DOHS, Dhaka",1K followers,"...developed a portfolio of clients in various industry verticals by providing them with turnkey solutions for application development and maintenance. Our experience includes social commerce, video sharing platform, real estate, logistics management, fin-tech & embedded software development."
EWN,"Information Technology & Services • Riyadh, Najd",2K followers,"At EWN, we're building software solutions for businesses. With a special focus on startups, we excel at ensuring efficient & optimum user experiences and operation models. Empowered by an in-house team of expert UI designers and leading developers in the industry, EWN leadership welcomes partnering opportunities..."
Red Sparrow Digital,IT Services and IT Consulting • Dhaka,1K followers,...& Animation  Content Strategy  Product Design & Concept  Website UI/UX Design  E-commerce Development  Mobile App Development  Bespoke Software Development
Goplexn Inc.,Software Development • Dhaka,1K followers,"....  Goplexn serves esteemed global clients with software, app development services from idea to deliverables in countries like the USA, Germany, Canada, Australia..."
DISYSTEM,"IT Services and IT Consulting • Dhaka, Bangladesh",2K followers,"...Integration, Technology Solution, ERP, SME, Human Resource Software Solution, and VAT/TAX Software Solution.  Our Mission & Vision Providing hassle-free..."
Tech Realify,IT System Training and Support • Dhaka,843 followers,"...expertise includes web development, software engineering, website customization, WooCommerce, website optimization, graphic design, UI/UX design, video editing..."
Hubar Tech Limited,IT Services and IT Consulting • Dhaka,2K followers,Hubar Tech is a software development company that specialises in Telecoms Software. It is a sister company of UK based Exos Systems Ltd.
HYPE DHAKA,"Marketing Services • Dhaka, Bangladesh",2K followers,HYPE Dhaka is a Digital Marketing Agency from Bangladesh. We help the mid-sized growth stage companies to large scale companies to create a sustainable online...
Apprise IT,"IT Services and IT Consulting • Dhaka, Dhaka",1K followers,"..., web design and development, tailor made applications, e-commerce solutions, business-to-business applications, business-to-client applications, managed hosting and internet portal management are few that we offer. Satisfied clients around the globe bear testimony to the quality of our work. As a leader in technology..."
Bee Technology & Research Hub (BTRH),"Information Technology & Services • Dhaka, Dhaka",2K followers,"...skills to provide national-scale IT solutions. We are a Leading custom eCommerce, Software, Automation & Mobile Apps Development Company in Bangladesh. We follow..."
Xpert Fintech Ltd.,Software Development • Dhaka,2K followers,"..., and has an office in Dhaka, Bangladesh. It is predominantly a partnership of ten brokerages. The majority of the partner brokerages, on the other hand, are bank subsidiaries.  The organization primarily provide software development and IT support services to various financial and non-financial businesses, including capital..."
Syntech Solution Ltd.,"Software Development • Dhaka, Dhaka",1K followers,We would like to introduce ourselves as “Syntech Solution Ltd” which is an ISO certified renowned Software Development and Website design company in Bangladesh...
eFoli,"Software Development • DOHS, Mirpur, Dhaka",1K followers,Effective Object Link - eFoli started with some existing growing up software & web application development company companies.  This Company is now enlarged and guarantees about any type of online rich application.   It has developed any type of online customizable product software on productsdesigner.com.  It has some...
Sunnah Technology,Software Development • Dubai,541 followers,"Welcome to Sunnah Technology's LinkedIn page dedicated to Software Development!   A Software Development Agency is a dynamic and innovative company that specializes in a wide range of digital services to help businesses thrive in the digital landscape. With a core focus on Graphic Design, Web Development, App..."
Mfasto (pvt.) Ltd.,"Technology, Information and Internet • Lakshmipur",2K followers,Mfasto (pvt.) Ltd. is a tech company who was founded in 2017 and specializes in developing innovative solutions to solve complex problems in the technology...
AnnaNovas IT,IT System Custom Software Development • Dhaka,2K followers,"Annanovas, a distinguished process-driven software, digital product, and solution provider headquartered in Dhaka, Bangladesh, has been at the forefront of delivering tailor-made technological solutions since its establishment in 2010. Evolving into a private limited company in 2016, Annanovas has consistently..."
"Inspire32,  Digitize your Business","IT Services and IT Consulting • Dhaka, dhaka",2K followers,Online Web Solution In Bangladesh
BdThemes Limited,Software Development • Bogra,1K followers,BdThemes is a software product company focused on WordPress product development. Aiming to enhance the web-building experience for users by providing top-notch solutions that help businesses grow.  Its journey started back in 2012 as a theme development company with 4 foundation experts. Now we are a team of 27...
Tech Solutions Club,"Software Development • Thakurgaon, Dhaka",2K followers,"...include custom software development, web and mobile app development, e-commerce development, and cloud solutions. We leverage our expertise in the latest technologies to create innovative software solutions that meet the unique needs of our clients. In addition to software development, we also offer digital marketing..."
ZORG IT GROUP,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,"Zorg IT Group is a global Digital Solutions Company, 19 highly professional, working in 4 different locations (USA, Canada, India, and Bangladesh). We have served more than 45 clients from 4 countries so far. Our service includes website design & development, Mobile apps design & development, software development..."
Cyoam,"Design Services • Khulna, Khulna",2K followers,"We are specialized in Software - Website development and design, Apps, Program, Graphics – Branding Design, Digital Experiences, Products and Packaging..."
TentaZ,IT System Custom Software Development • New York,911 followers,"Tentaz is the best solution for your business. We are providing software, website design & development, and digital marketing service for your business."
Nexdecade Technology Pvt. Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",1K followers,"Nexdecade Technology (Pvt.) Ltd., one of the expanding software firms that have been contributing to the country's IT sector for the past 16 years. We are expert on developing mobile applications, software, IOT products such as OTT platform, VTS, VMS, Software manage service, ICT solutions, hardware manufacturing..."
Sidago Integrated Solutions,"Outsourcing and Offshoring Consulting • Chicago, Illinois",108 followers,We Understand the Online World • Specialties: Software Development
Ad & Tech Solution,Advertising Services • Dhaka,1K followers,A Digital Marketing & Technology Sales Agency which brought innovative product & services to make your life easy. We think out of the box and come up with non traditional solution for you. Products: ATL BTL Digital Marketing Marketing Consultancy Technology Software Development Hardware Development
U S Software Limited,"Information Technology & Services • Dhaka,  Panthapath",1K followers,"...of Information Technology:  Application Development, ICT Services and IT Education.  We believe that in order to have a sustainable growth in the IT industry in Bangladesh..."
Innovative Technology & Engineering,"IT Services and IT Consulting • Dhaka, Dhaka",1K followers,".... Our primary goal is to meet your deepest desires and essential requirements, setting us apart from the competition. Founded in 2015, we have a strong mission and vision that drives our efforts.  We take pride in providing comprehensive solutions to various industries and organizations, catering to both small..."
BTS Technology Ltd.,Software Development • Sylhet,1K followers,"BTS Technology Ltd., is a software development company, specializing in Business and Mobile applications development. We have a committed team of professionals with experience in variety of tools and platforms. Our developers keep themselves updated with the latest technology trends. We promote a culture where we..."
Alchemy Software Limited,"IT Services and IT Consulting • Chittagong, Chittagong",947 followers,"...the range of its services in various industries. As a software development company with a deep understanding of values and commitment, Alchemy Software believes..."
Red Blue Pixel Studio,"Computer Games • Dhaka, Dhaka",651 followers,"Welcome to RedBluePixel, your one-stop destination for all things creative! At RedBluePixel, we specialize in bringing your visions to life through expert Artists, captivating design, immersive game asset development, and cutting-edge software development.  Our team of skilled professionals is dedicated to providing..."
HyperTAG Solutions Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,"...training institute in 20 different locations of the country. The Company was duly established in 2010 and has its Head Office in Dhaka, Bangladesh and global..."
Nagorik Technologies Ltd.,IT Services and IT Consulting • Dhaka,1K followers,We are creating a marketplace for premium digital services at affordable micro prices to cater all the needs of you and your family. We are a technology company based in Bangladesh operating in Bangladesh and Nepal. Our Core expertise in designing and selling subscription-based services over telecom & Mobile financial...
kTech Solutions,"Outsourcing and Offshoring Consulting • Savar DOHS , Dhaka",1K followers,"kTech Solutions is providing offshore outsourcing in call center operations, business back-office support, web development, video editing and graphic design..."
DataNet,"IT Services and IT Consulting • Mbabane, Hohoho",1K followers,"DataNet is a dynamic and fast-growing technology & service company with operations in Swaziland, South Africa, Bangladesh.  DataNet specialises in combining..."
Anchorblock Technology,"Information Technology & Services • Dhaka, Dhaka",1K followers,Software development and research with Machine Learning
Sherazi IT International,IT Services and IT Consulting • Dhaka,1K followers,"Sherazi IT is the top it company and Digital Agency. We have a lot of experience in many diverse areas of IT & Digital services. This is a big IT company and Digital Agency, who are able to provide Website Development, Software Development, Web Design, Digital Marketing, Graphics Design, UI/UX Design,  Video Editing..."
Avalon Hosting Services,"IT Services and IT Consulting • Upper Rissington, England",2K followers,"...Incorporation which was founded as a software development company in 2007 & Avalon Tech Bangladesh introduced in 2017.  The company has Branches in Bangladesh, India & United Kingdom (UK). We provide various services like ICT Hardware, Software as a Service (SaaS) & Automation, Hosting, Platform as a Service, Digital Marketing..."
Quadque Technologies Limited,"IT Services and IT Consulting • Dhaka, Dhaka",1K followers,"Quadque Technologies Limited, A data-driven Australia-based custom software development company. Our goal is to offer top-notch software and services that..."
TuFan Software Ltd,"Software Development • Dhaka, 51,West Raja Bazar,",932 followers,"TuFan Software Limited is a Software & Security provider company in Bangladesh. like Mobile Application, eCommerce and Website Development Service---Penetration Testing(,web/android/IOS ),Data recovery, Digital forensics ,all kind of IT Security Product: Banking Solution , Garments ERP, HRM Software, Hospital..."
Multimedia Gen,IT Services and IT Consulting • Moulvibazar,1K followers,Our dream is helping Content Creator and entrepreneurs grow on Digital Platforms • Specialties: Software Development
Learning IT Limited,Software Development • Gazipur,880 followers,"...design and hosting, app development, computer networking, data security, and customer support. Also, one can develop a specific type of software or hardware..."
Crowds Reach,"Advertising Services • Dhaka, Dhaka",1K followers,...the firm include; - Crowds Reach (Creative Agency) - Reach Labs (Web + Software Agency) - ReachCRM (CRM / Bangladesh) - Salient AI (Marketing SandBox / North America...
Genesis Software & Technology Ltd.,"Software Development • Barishal, Barishal",904 followers,Genesis Software & Technology Ltd. is software development & IT enabled service provider company both locally & globally.  Genesis Software & Technology Ltd. has complete expertise and proven experiences working in ‣ Web Design & Development ‣ Mobile App Development ‣ IT Solutions ‣ Enterprise Solutions ‣ Digital...
ORankApp,"Advertising Services • Agargaon Dhaka, Dhaka",1K followers,"The best powerful SEO Software Development Team. This software developed for the best SEO practice, and improve your SEO quickly and also helping your friends and clints."
ITclan BD,"IT Services and IT Consulting • Dhaka, Dhaka",1K followers,"ITclan BD offers quality web services from Website Design to Software Development, E-Commerce Service, Mobile Apps Development, Search Engine Optimization (SEO), Digital Marketing and Creatives with 3D Animation.  ITclan BD provides software management systems to all kinds of businesses in order to compete in..."
TalhaTraining,"IT Services and IT Consulting • Dhaka, Dhaka",1K followers,"Educational Network, Software Development, Mobile Apps Development, Responsive Web Design, Software Testing"
